web-scraper-order,web-scraper-start-url,Deck-Selector,Deck-Selector-href,Card-Selector,Card-Selector-href,Card-Name
"1727116707-1","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=20","Kuriboh Deck","https://ygoprodeck.com/deck/kuriboh-deck-58419","","https://ygoprodeck.com/card/?search=58058134","Slacker Magician"
"1727116710-2","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=20","Kuriboh Deck","https://ygoprodeck.com/deck/kuriboh-deck-58419","","https://ygoprodeck.com/card/?search=84124261","Number 39: Utopia Roots"
"1727116712-3","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=20","Kuriboh Deck","https://ygoprodeck.com/deck/kuriboh-deck-58419","","https://ygoprodeck.com/card/?search=95442074","Number 31: Embodiment of Punishment"
"1727116715-4","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=20","Kuriboh Deck","https://ygoprodeck.com/deck/kuriboh-deck-58419","","https://ygoprodeck.com/card/?search=69058960","Number 13: Embodiment of Crime"
"1727116717-5","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=20","Kuriboh Deck","https://ygoprodeck.com/deck/kuriboh-deck-58419","","https://ygoprodeck.com/card/?search=44095762","Mirror Force"
"1727116719-6","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=20","Kuriboh Deck","https://ygoprodeck.com/deck/kuriboh-deck-58419","","https://ygoprodeck.com/card/?search=25573054","Transcendent Wings"
"1727116722-7","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=20","Kuriboh Deck","https://ygoprodeck.com/deck/kuriboh-deck-58419","","https://ygoprodeck.com/card/?search=20065322","The Flute of Summoning Kuriboh"
"1727116724-8","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=20","Kuriboh Deck","https://ygoprodeck.com/deck/kuriboh-deck-58419","","https://ygoprodeck.com/card/?search=40703222","Multiply"
"1727116727-9","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=20","Kuriboh Deck","https://ygoprodeck.com/deck/kuriboh-deck-58419","","https://ygoprodeck.com/card/?search=89086566","Detonate"
"1727116729-10","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=20","Kuriboh Deck","https://ygoprodeck.com/deck/kuriboh-deck-58419","","https://ygoprodeck.com/card/?search=57116034","Winged Kuriboh"
