web-scraper-order,web-scraper-start-url,Deck-Selector,Deck-Selector-href,Card-Selector,Card-Selector-href,Card-Name
"1727122307-1","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=80","My Thunder Dragon Deck- MASTER DUEL 2022","https://ygoprodeck.com/deck/my-thunder-dragon-deck-master-duel-2022-241376","","https://ygoprodeck.com/card/?search=41999284","Linkuriboh"
"1727122309-2","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=80","My Thunder Dragon Deck- MASTER DUEL 2022","https://ygoprodeck.com/deck/my-thunder-dragon-deck-master-duel-2022-241376","","https://ygoprodeck.com/card/?search=70369116","Predaplant Verte Anaconda"
"1727122311-3","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=80","My Thunder Dragon Deck- MASTER DUEL 2022","https://ygoprodeck.com/deck/my-thunder-dragon-deck-master-duel-2022-241376","","https://ygoprodeck.com/card/?search=50277355","Cross-Sheep"
"1727122314-4","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=80","My Thunder Dragon Deck- MASTER DUEL 2022","https://ygoprodeck.com/deck/my-thunder-dragon-deck-master-duel-2022-241376","","https://ygoprodeck.com/card/?search=52119435","Geonator Transverser"
"1727122316-5","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=80","My Thunder Dragon Deck- MASTER DUEL 2022","https://ygoprodeck.com/deck/my-thunder-dragon-deck-master-duel-2022-241376","","https://ygoprodeck.com/card/?search=38406364","Some Summer Summoner"
"1727122319-6","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=80","My Thunder Dragon Deck- MASTER DUEL 2022","https://ygoprodeck.com/deck/my-thunder-dragon-deck-master-duel-2022-241376","","https://ygoprodeck.com/card/?search=49725936","Triple Burst Dragon"
"1727122321-7","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=80","My Thunder Dragon Deck- MASTER DUEL 2022","https://ygoprodeck.com/deck/my-thunder-dragon-deck-master-duel-2022-241376","","https://ygoprodeck.com/card/?search=30194529","Ningirsu the World Chalice Warrior"
"1727122324-8","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=80","My Thunder Dragon Deck- MASTER DUEL 2022","https://ygoprodeck.com/deck/my-thunder-dragon-deck-master-duel-2022-241376","","https://ygoprodeck.com/card/?search=12081875","Thunder Dragon Thunderstormech"
"1727122326-9","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=80","My Thunder Dragon Deck- MASTER DUEL 2022","https://ygoprodeck.com/deck/my-thunder-dragon-deck-master-duel-2022-241376","","https://ygoprodeck.com/card/?search=9653271","Kaminari Attack"
"1727122329-10","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=80","My Thunder Dragon Deck- MASTER DUEL 2022","https://ygoprodeck.com/deck/my-thunder-dragon-deck-master-duel-2022-241376","","https://ygoprodeck.com/card/?search=96334243","Sea Monster of Theseus"
"1727122333-11","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=80","My Thunder Dragon Deck- MASTER DUEL 2022","https://ygoprodeck.com/deck/my-thunder-dragon-deck-master-duel-2022-241376","","https://ygoprodeck.com/card/?search=54752875","Twin-Headed Thunder Dragon"
"1727122335-12","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=80","My Thunder Dragon Deck- MASTER DUEL 2022","https://ygoprodeck.com/deck/my-thunder-dragon-deck-master-duel-2022-241376","","https://ygoprodeck.com/card/?search=15291624","Thunder Dragon Colossus"
"1727122340-13","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=80","My Thunder Dragon Deck- MASTER DUEL 2022","https://ygoprodeck.com/deck/my-thunder-dragon-deck-master-duel-2022-241376","","https://ygoprodeck.com/card/?search=41685633","Thunder Dragon Titan"
"1727122344-14","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=80","My Thunder Dragon Deck- MASTER DUEL 2022","https://ygoprodeck.com/deck/my-thunder-dragon-deck-master-duel-2022-241376","","https://ygoprodeck.com/card/?search=14087893","Book of Moon"
"1727122348-15","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=80","My Thunder Dragon Deck- MASTER DUEL 2022","https://ygoprodeck.com/deck/my-thunder-dragon-deck-master-duel-2022-241376","","https://ygoprodeck.com/card/?search=95238394","Thunder Dragon Fusion"
"1727122350-16","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=80","My Thunder Dragon Deck- MASTER DUEL 2022","https://ygoprodeck.com/deck/my-thunder-dragon-deck-master-duel-2022-241376","","https://ygoprodeck.com/card/?search=12580477","Raigeki"
"1727122352-17","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=80","My Thunder Dragon Deck- MASTER DUEL 2022","https://ygoprodeck.com/deck/my-thunder-dragon-deck-master-duel-2022-241376","","https://ygoprodeck.com/card/?search=1845204","Instant Fusion"
"1727122355-18","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=80","My Thunder Dragon Deck- MASTER DUEL 2022","https://ygoprodeck.com/deck/my-thunder-dragon-deck-master-duel-2022-241376","","https://ygoprodeck.com/card/?search=99266988","Chaos Space"
"1727122360-19","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=80","My Thunder Dragon Deck- MASTER DUEL 2022","https://ygoprodeck.com/deck/my-thunder-dragon-deck-master-duel-2022-241376","","https://ygoprodeck.com/card/?search=1475311","Allure of Darkness"
"1727122364-20","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=80","My Thunder Dragon Deck- MASTER DUEL 2022","https://ygoprodeck.com/deck/my-thunder-dragon-deck-master-duel-2022-241376","","https://ygoprodeck.com/card/?search=20318029","Thunder Dragonmatrix"
"1727122367-21","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=80","My Thunder Dragon Deck- MASTER DUEL 2022","https://ygoprodeck.com/deck/my-thunder-dragon-deck-master-duel-2022-241376","","https://ygoprodeck.com/card/?search=23434538","Maxx ""C"""
"1727122370-22","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=80","My Thunder Dragon Deck- MASTER DUEL 2022","https://ygoprodeck.com/deck/my-thunder-dragon-deck-master-duel-2022-241376","","https://ygoprodeck.com/card/?search=14558127","Ash Blossom & Joyous Spring"
"1727122373-23","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=80","My Thunder Dragon Deck- MASTER DUEL 2022","https://ygoprodeck.com/deck/my-thunder-dragon-deck-master-duel-2022-241376","","https://ygoprodeck.com/card/?search=44586426","Batteryman Solar"
