Deck-Selector,Card-Name
FULL POWER DRAGON RULERS,"['Hand Destruction', 'Red-Eyes Darkness Metal Dragon', 'Knightmare Cerberus', 'Knightmare Phoenix', 'Tri-Gate Wizard', 'Firewall Dragon', 'Saryuja Skull Dread', 'Number 42: Galaxy Tomahawk', 'Mecha Phantom Beast Dracossack', 'Dark Armed, the Dragon of Annihilation', 'Crystal Wing Synchro Dragon', 'Graceful Charity', 'Glow-Up Bulb', 'Lightning, Dragon Ruler of Drafts', 'Burner, Dragon Ruler of Sparks', 'Stream, Dragon Ruler of Droplets', 'Reactan, Dragon Ruler of Pebbles', ""Destrudo the Lost Dragon's Frisson"", 'Redox, Dragon Ruler of Boulders', 'Tempest, Dragon Ruler of Storms', 'Tidal, Dragon Ruler of Waterfalls', 'Blaster, Dragon Ruler of Infernos']"
Fallen of Albaz,"['PSY-Framelord Omega', 'El Shaddoll Construct', 'Despian Quaeritis', 'Masquerade the Blazing Dragon', 'Titaniklad the Ash Dragon', 'Forbidden Droplet', 'Branded in White', 'Despia, Theater of the Branded', 'Branded in High Spirits', 'Dramaturge of Despia', 'Incredible Ecclesia, the Virtuous']"
Galaxy-Eyes Photon (via DevPro Users) V0.1,"['Wind-Up Zenmaines', 'Starliege Lord Galaxion', 'Hieratic Sun Dragon Overlord of Heliopolis', 'Number 107: Galaxy-Eyes Tachyon Dragon', 'Number 62: Galaxy-Eyes Prime Photon Dragon', 'Neo Galaxy-Eyes Photon Dragon', 'Number 95: Galaxy-Eyes Dark Matter Dragon', 'Number C107: Neo Galaxy-Eyes Tachyon Dragon', 'Twin Photon Lizard', 'Tachyon Transmigration', 'Tachyon Chaos Hole', 'Bottomless Trap Hole', 'Galaxy Zero', 'Rank-Up-Magic Quick Chaos', 'Mystical Space Typhoon', 'Galaxy Expedition', 'Accellight', 'Photon Sanctuary', 'Galaxy Cyclone', 'Galaxy-Eyes Cloudragon', 'Galaxy Mirror Sage', 'Photon Sabre Tiger', 'Galaxy Wizard', 'Photon Thrasher', 'Galaxy Soldier', 'Galaxy Knight', 'Galaxy-Eyes Photon Dragon']"
Gren Maju,"['Summon Limit', ""Harpie's Feather Duster"", 'Invoked Elysium', 'World Chalice Guardragon Almarduke', 'Eldlich the Mad Golden Lord', 'Number 84: Pain Gainer', 'Number 100: Numeron Dragon', 'Number 97: Draglubion', 'Interrupted Kaiju Slumber', 'Alpha, the Master of Beasts', 'Fairy Tail - Luna', 'Gadarla, the Mystery Dust Kaiju']"
Gren Maju OTK,"['There Can Be Only One', 'Eradicator Epidemic Virus', 'Twin Twisters', 'Cosmic Cyclone', 'PSY-Framegear Gamma', 'PSY-Frame Driver', 'Knightmare Mermaid', 'Barricadeborg Blocker', 'Knightmare Cerberus', 'Knightmare Phoenix', 'Knightmare Unicorn', 'Number 68: Sanaphond the Sky Prison', 'Dingirsu, the Orcust of the Evening Star', 'Number 38: Hope Harbinger Dragon Titanic Galaxy', 'Galaxy-Eyes Cipher Dragon', 'Galaxy-Eyes Full Armor Photon Dragon', 'Number 22: Zombiestein', 'Galaxy-Eyes Cipher Blade Dragon', 'Mudragon of the Swamp', 'Starving Venom Fusion Dragon', 'Salamangreat Violet Chimera', 'Golden Castle of Stromberg', 'Super Polymerization', 'Called by the Grave', 'Monster Reborn', 'Foolish Burial', 'Terraforming', 'Trade-In', 'Pot of Desires', 'Eater of Millions', 'Gren Maju Da Eiza', 'Glife the Phantom Bird', 'Dinowrestler Pankratops', 'Gizmek Orochi, the Serpentron Sky Slasher', 'Hexe Trude', 'Danger! Thunderbird!', 'Danger! Bigfoot!']"
Invoked Shaddoll (Master Duel),"['Gravity Controller', 'Secure Gardna', 'Salamangreat Almiraj', 'Starving Venom Fusion Dragon', 'El Shaddoll Apkallone', 'El Shaddoll Shekhinaga', 'El Shaddoll Winda', 'El Shaddoll Construct', 'Invoked Purgatrio', 'Invoked Augoeides', 'Invoked Mechaba', 'Shaddoll Core', 'Resh Shaddoll Incarnation', 'Shaddoll Schism', 'Spellbook of Knowledge', 'Super Polymerization', 'El Shaddoll Fusion', 'Shaddoll Fusion', 'Invocation', 'Magical Meltdown', 'Nibiru, the Primal Being', 'Naelshaddoll Ariel', 'Shaddoll Falco', 'Shaddoll Dragon', 'Shaddoll Beast', 'Shaddoll Hedgehog', 'Reeshaddoll Wendi', 'Shaddoll Squamata', 'Aleister the Invoker']"
Invoked Shaddoll Dogmatika,"['There Can Be Only One', 'Mystic Mine', ""Harpie's Feather Duster"", 'Dark Ruler No More', 'Cosmic Cyclone', 'Artifact Lancea', 'Secure Gardna', ""Elder Entity N'tss"", 'Titaniklad the Ash Dragon', 'El Shaddoll Winda', 'El Shaddoll Construct', 'Invoked Raidjin', 'Invoked Purgatrio', 'Invoked Augoeides', 'Invoked Mechaba', 'Dogmatika Punishment', 'Shaddoll Schism', 'Foolish Burial', 'Nadir Servant', 'Invocation', 'Terraforming', 'Magical Meltdown', 'Dogmatika Fleurdelis, the Knighted', 'Dogmatika Maximus', 'Dogmatika Ecclesia, the Virtuous', 'Aleister the Invoker']"
Jack Atlas Deck profile,"['Powerful Rebirth', 'Tuner Capture', 'Changing Destiny', 'Power Supplier', 'Vice Berserker', 'Red Wyvern', 'Red Rising Dragon', 'Exploder Dragonwing', 'Chaos King Archfiend', 'Scarlight Red Dragon Archfiend', 'Red Dragon Archfiend', 'Crimson Blader', 'Hot Red Dragon Archfiend Abyss', 'Tyrant Red Dragon Archfiend', 'Majestic Red Dragon', 'Hot Red Dragon Archfiend Bane', 'Red Nova Dragon', 'Hot Red Dragon Archfiend King Calamity', 'Multiple Piece Golem', 'Crimson Fire', 'Shadow Spell', 'Red Screen', 'King Scarlet', 'Reject Reborn', 'Red Carpet', ""King's Synchro"", 'Descending Lost Star', 'Resonant Destruction', 'Megamorph', 'Scarlet Security', 'Resonator Engine', 'Resonator Call', 'Red Dragon Vase', 'Polymerization', 'Mind Trust', 'De-Synchro', 'Red Mirror', 'Mirror Resonator', 'Majestic Dragon', 'Double Resonator', 'Barrier Resonator', 'Force Resonator', 'Small Piece Golem', 'Flare Resonator', 'Dark Resonator', 'Creation Resonator', 'Clock Resonator', 'Twin-Sword Marauder', 'Twin-Shield Defender', 'Red Sprinter', 'Red Gardna', 'Medium Piece Golem', 'Mad Archfiend', 'Lancer Archfiend', 'Vice Dragon', 'Big Piece Golem', 'Strong Wind Dragon', 'Red Warg', 'Red Dragon Archfiend/Assault Mode']"
Jaden Yuki Deck,"['Not Found', 'Elemental HERO Necroid Shaman', 'Elemental HERO Storm Neos', 'Elemental HERO Brave Neos', 'Elemental HERO Nebula Neos', 'Elemental HERO Mariner', 'Neo-Spacian Aqua Dolphin', 'Elemental HERO Gaia', 'Neo-Spacian Dark Panther', 'Neo-Spacian Glow Moss', 'Fake Hero', 'Elemental HERO Mudballman', 'Elemental HERO Dark Neos', 'Rainbow Neos', 'Elemental HERO Rampart Blaster', 'Elemental HERO Magma Neos', 'Elemental HERO Steam Healer', 'Elemental HERO Shining Flare Wingman', 'Elemental HERO Flame Wingman', 'Elemental HERO Air Neos', 'Elemental HERO Thunder Giant', 'Elemental HERO Wildedge', 'Elemental HERO Great Tornado', 'Elemental HERO Wild Wingman', 'Elemental HERO Plasma Vice', 'Elemental HERO Tempest', 'Elemental HERO Electrum', 'Neo-Spacian Grand Mole', 'Neo-Spacian Flare Scarab', 'Neo-Spacian Air Hummingbird', 'O - Oversoul', 'Hero Barrier', 'Hero Blast', 'A Hero Emerges', 'Hero Signal', 'Winged Kuriboh LV10', 'De-Fusion', 'Winged Kuriboh', 'Winged Kuriboh', 'Elemental HERO Prisma', 'Card Ejector', 'Necro Fusion', 'Fusion Recovery', 'Skyscraper', 'Elemental HERO Wildheart', 'Elemental HERO Bladedge', 'Transcendent Wings', 'The Flute of Summoning Kuriboh', 'Miracle Fusion', 'E - Emergency Call', 'Necro Gardna', 'Elemental HERO Neos', 'Elemental HERO Necroshade', 'Elemental HERO Clayman', 'Elemental HERO Sparkman', 'Elemental HERO Bubbleman', 'Card Trooper', 'Elemental HERO Avian', 'Elemental HERO Burstinatrix']"
Joey Wheeler Deck,"['Black Skull Dragon', 'Thousand Dragon', ""Alligator's Sword Dragon"", 'Pot of Greed', 'Question', 'Skull Dice', 'Scapegoat', 'Roulette Spider', 'Graceful Dice', 'Giant Trunade', 'Fairy Box', 'Shield & Sword', 'Copycat', 'Time Wizard', 'Lava Battleguard', 'Swamp Battleguard', 'Armored Lizard', 'Summoned Skull', 'Rocket Warrior', 'Panther Warrior', 'Jinzo', 'Hayabusa Knight', 'Gilford the Lightning', 'Gilford the Lightning', 'Gearfried the Iron Knight', 'Swordsman of Landstar', 'Little-Winguard', 'Garoozis', 'Blue Flame Swordsman', 'Battle Warrior', 'Axe Raider', 'Baby Dragon', ""Alligator's Sword"", ""Black Dragon's Chick""]"
Kaiju,"['Number 9: Dyson Sphere', 'Number 89: Diablosis the Mind Hacker', 'Number 68: Sanaphond the Sky Prison', 'Number 11: Big Eye', 'Number 62: Galaxy-Eyes Prime Photon Dragon', 'Neo Galaxy-Eyes Cipher Dragon', 'Number 95: Galaxy-Eyes Dark Matter Dragon', 'Galaxy-Eyes Cipher Blade Dragon', 'Galaxy-Eyes Cipher Dragon', 'Kyoutou Waterfront', 'Skill Drain', 'Remove Brainwashing', 'Cosmic Cyclone', 'Twin Twisters', 'Mystical Space Typhoon', 'Terraforming', 'Trade-In', 'Allure of Darkness', 'Thunder King, the Lightningstrike Kaiju', 'The Kaiju Files', 'Super Anti-Kaiju War Machine Mecha-Dogoran', 'Radian, the Multidimensional Kaiju', 'Kumongous, the Sticky String Kaiju', 'Kaiju Capture Mission', 'Jizukiru, the Star Destroying Kaiju', 'Interrupted Kaiju Slumber', 'Gameciel, the Sea Turtle Kaiju', 'Gadarla, the Mystery Dust Kaiju', 'Dogoran, the Mad Flame Kaiju']"
Kuriboh Deck,"['Slacker Magician', 'Number 39: Utopia Roots', 'Number 31: Embodiment of Punishment', 'Number 13: Embodiment of Crime', 'Mirror Force', 'Transcendent Wings', 'The Flute of Summoning Kuriboh', 'Multiply', 'Detonate', 'Winged Kuriboh', 'Winged Kuriboh', 'Relinkuriboh', 'Rainbow Kuriboh', 'Kurivolt', 'Kuriphoton', 'Kuribohrn', 'Kuriboh', 'Junkuriboh', 'Clear Kuriboh', 'Lightray Sorcerer', 'Lightray Diabolos', 'Black Luster Soldier - Envoy of the Beginning', 'Winged Kuriboh LV9', 'Winged Kuriboh LV10', 'Dystopia the Despondent']"
LIGHTSWORN DECK 2019,"['Borreload Dragon', 'Number 41: Bagooska the Terribly Tired Tapir', 'Eclipse Wyvern', 'Lumina, Twilightsworn Shaman', 'PSY-Framelord Zeta', 'Punishment Dragon', 'Summon Sorceress', 'Lyla, Twilightsworn Enchantress', 'Twilight Eraser', 'Lightsworn Judgment', 'Borrelguard Dragon', 'Amphibious Swarmship Amblowhale', 'Puzzlomino, the Drop-n-Deleter', 'Borreload Savage Dragon', 'Borrelsword Dragon', 'Curious, the Lightsworn Dominion', 'Minerva, the Exalted Lightsworn', 'Michael, the Arch-Lightsworn', 'PSY-Framelord Omega', 'Ib the World Chalice Justiciar', 'Mudragon of the Swamp', 'Black Luster Soldier - Envoy of the Beginning', 'World Legacy - ""World Chalice""', 'World Legacy Succession', ""Destrudo the Lost Dragon's Frisson"", 'Heroic Challenger - Thousand Blades', 'Glow-Up Bulb', 'Judgment Dragon', 'Garoth, Lightsworn Warrior', 'Felis, Lightsworn Archer', 'Solar Recharge', 'Raiden, Hand of the Lightsworn', 'Wulf, Lightsworn Beast', 'Charge of the Light Brigade', 'Lumina, Lightsworn Summoner', 'Diana the Light Spirit']"
Legendary Dragon Decks: Cyber Dragon,"['Cyber Dragon Infinity', 'Cyber Dragon Nova', 'Chimeratech Rampage Dragon', 'Chimeratech Fortress Dragon', 'Chimeratech Overdragon', 'Cyber Twin Dragon', 'Cyber End Dragon', 'Quaking Mirror Force', 'Storming Mirror Force', 'Cyber Shadow Gardna', 'Cyber Network', 'Machina Armored Unit', 'Limiter Removal', 'Future Fusion', 'Overload Fusion', 'Power Bond', 'Evolution Burst', 'Cybernetic Fusion Support', 'Cyber Repair Plant', 'Machina Fortress', 'Armored Cybern', 'Cyber Eltanin', 'Cyber Dinosaur', 'Cyber Phoenix', 'Cyber Valley', 'Proto-Cyber Dragon', 'Cyber Dragon Core', 'Cyber Dragon Drei', 'Cyber Dragon Zwei', 'Cyber Dragon']"
Master Duel - Exodia FTK,"['Chicken Game', 'Foolish Burial Goods', 'Broken Bamboo Sword', 'Piri Reis Map', 'Pot of Duality', 'Into the Void', 'Golden Bamboo Sword', 'Cursed Bamboo Sword', 'Double Summon', 'Magical Mallet', 'Dark Factory of Mass Production', 'Magical Stone Excavation', 'Card of Demise', 'Upstart Goblin', 'Anchamoufrite', 'Royal Magical Library', 'Left Leg of the Forbidden One', 'Left Arm of the Forbidden One', 'Exodia the Forbidden One', 'Right Arm of the Forbidden One', 'Right Leg of the Forbidden One']"
Master Duel HERO Deck 2022,"['Xtra HERO Cross Crusader', 'Xtra HERO Wonder Driver', 'Xtra HERO Dread Decimator', 'Destiny HERO - Dangerous', 'Masked HERO Blast', 'Masked HERO Dark Law', 'Elemental HERO Sunrise', 'Vision HERO Trinity', 'Elemental HERO Absolute Zero', 'Masked HERO Acid', 'Masked HERO Anki', 'Destiny HERO - Dystopia', 'Evil HERO Malicious Bane', 'D - Force', 'Forbidden Droplet', 'Mask Change', 'Fusion Destiny', 'Miracle Fusion', 'Dark Calling', 'A Hero Lives', 'Droll & Lock Bird', 'Ash Blossom & Joyous Spring', 'Vision HERO Increase', 'Vision HERO Vyon', 'Elemental HERO Shadow Mist', 'Elemental HERO Liquid Soldier', 'Destiny HERO - Drawhand', 'Elemental HERO Stratos', 'Evil HERO Adusted Gold', 'Vision HERO Faris', 'Destiny HERO - Malicious', 'Elemental HERO Honest Neos', 'Destiny HERO - Plasma']"
Master Duel Pendulum,"['Crystron Halqifibrax', 'Heavymetalfoes Electrumite', 'Selene, Queen of the Master Magicians', 'Evilswarm Nightmare', 'Timestar Magician', 'Norito the Moral Leader', 'Odd-Eyes Absolute Dragon', 'F.A. Dawn Dragster', 'Odd-Eyes Meteorburst Dragon', 'Odd-Eyes Vortex Dragon', 'Supreme King Dragon Starving Venom', 'Time Pendulumgraph', 'Pendulum Call', 'Duelist Alliance', 'Star Pendulumgraph', 'Tuning Magician', 'Timegazer Magician', 'Harmonizing Magician', 'Abyss Actor - Curtain Raiser', 'Purple Poison Magician', 'Performapal Pendulum Sorcerer', 'Performapal Celestial Magician', 'Double Iris Magician', 'Wisdom-Eye Magician', 'Performapal Skullcrobat Joker', 'Chronograph Sorcerer', 'Oafdragon Magician', 'Mythical Beast Jackal King', 'Dragonpit Magician', 'Astrograph Sorcerer', 'Endymion, the Mighty Master of Magic']"
Meta Blue Eyes Nov 2021- extremely competitive build,"['Imperial Order', 'Destined Rivals', 'Evenly Matched', 'Piercing the Darkness', 'Super Polymerization', 'Dark Ruler No More', 'Effect Veiler', 'Ghost Belle & Haunted Mansion', 'Ash Blossom & Joyous Spring', 'Artifact Lancea', 'Striker Dragon', 'Hieratic Seal of the Heavenly Spheres', 'I:P Masquerena', 'Crystron Halqifibrax', 'Knightmare Unicorn', 'Mekk-Knight Crusadia Avramax', 'Dingirsu, the Orcust of the Evening Star', 'Baronne de Fleur', 'Blue-Eyes Tyrant Dragon', 'True Light', 'The Ultimate Creature of Destruction', 'Vision with Eyes of Blue', 'Ultimate Fusion', 'Monster Reborn', 'Upstart Goblin', 'Maiden with Eyes of Blue', 'The White Stone of Legend', 'Dictator of D.', 'Blue-Eyes Abyss Dragon', 'Chaos Dragon Levianeer', 'Blue-Eyes Jet Dragon', 'Red-Eyes Darkness Metal Dragon', 'Blue-Eyes White Dragon']"
Meta Harpie Lady Deck 2022,"['Imduk the World Chalice Dragon', 'Barricadeborg Blocker', 'Tri-Brigade Ferrijit the Barren Blossom', 'Pentestag', 'Harpie Conductor', 'Simorgh, Bird of Sovereignty', 'Lightning Chidori', 'Ice Beast Zerofyne', ""Harpie's Pet Phantasmal Dragon"", 'Number 39: Utopia Double', 'Number 39: Utopia', 'Divine Arsenal AA-ZEUS - Sky Thunder', 'Cyber Slash Harpie Lady', 'Icarus Attack', ""Harpie's Feather Storm"", 'Back to the Front', 'Mind Drain', 'Hysteric Party', 'Double or Nothing!', 'Unexpected Dai', 'Triple Tactics Talent', 'Small World', ""Harpie's Feather Rest"", ""Harpie's Feather Duster"", 'Elegant Egotist', ""Harpies' Hunting Ground"", 'Hysteric Sign', 'Effect Veiler', 'Droll & Lock Bird', 'Barrier Statue of the Stormwinds', 'Harpie Oracle', 'Harpie Perfumer', 'Harpie Channeler', 'Harpie Harpist', 'Harpie Queen', 'Harpie Lady']"
Modern Day Yusei Fudo Deck,"['Gaia Saber, the Lightning Shadow', 'Encode Talker', 'Decode Talker', 'Formula Synchron', 'Stardust Chronicle Spark Dragon', 'Stardust Spark Dragon', 'Stardust Sifr Divine Dragon', 'Stardust Xiaolong', 'Turbo Warrior', 'Nitro Warrior', 'Majestic Star Dragon', 'Topologic Bomber Dragon', 'Borreload Dragon', 'Junk Archer', 'Junk Warrior', 'Junk Gardna', 'Junk Destroyer', 'Stardust Warrior', 'Stardust Charge Warrior', 'Stardust Assault Warrior', 'Stardust Dragon', 'Synchro Strike', 'Synchro Cracker', 'Synchro Change', 'Synchro Call', 'Synchro Boost', 'Synchro Barrier', 'Synchro Blast Wave', 'Miracle Synchro Fusion', 'De-Synchro', 'Stardust Shimmer', 'Stardust Re-Spark', 'Stardust Flash', 'Starlight Road', 'Starlight Junktion', 'Junk Giant', 'Quickdraw Synchron', 'Majestic Dragon', 'Debris Dragon', 'Junk Anchor', 'Junk Breaker', 'Junk Defender', 'Junk Servant', 'Quillbolt Hedgehog', 'Turbo Synchron', 'Nitro Synchron', 'Stardust Phantom', 'Junk Synchron']"
My Dragonmaid deck MASTER DUEL 2022,"['Progleo', 'Link Spider', 'Rasterliger', 'Decode Talker', 'Number 5: Doom Chimera Dragon', 'Number 46: Dragluon', 'Dragonmaid Sheou', 'Dragonmaid Tidying', 'Book of Moon', 'Pot of Prosperity', 'Chamber Dragonmaid', 'Fantastical Dragon Phantazmay', 'Performapal Odd-Eyes Dissolver']"
My Sky striker MASTER DUEL 2022,"['Ningirsu the World Chalice Warrior', 'Hiita the Fire Charmer, Ablaze', 'Sky Striker Ace - Kaina', 'Sky Striker Ace - Zeke', 'Sky Striker Ace - Shizuku', 'Sky Striker Ace - Kagari', 'Sky Striker Ace - Hayate', 'There Can Be Only One', 'Sky Striker Mobilize - Engage!', 'Sky Striker Mecha Modules - Multirole', 'Sky Striker Mecha - Widow Anchor', 'Sky Striker Mecha - Shark Cannon', 'Sky Striker Mecha - Hornet Drones', 'Sky Striker Mecha - Eagle Booster', 'Sky Striker Maneuver - Jamming Waves!', 'Sky Striker Maneuver - Afterburners!', 'Sky Striker Airspace - Area Zero', 'Chicken Game', 'Sky Striker Ace - Roze', 'Sky Striker Ace - Raye']"
My Thunder Dragon Deck- MASTER DUEL 2022,"['Linkuriboh', 'Predaplant Verte Anaconda', 'Cross-Sheep', 'Geonator Transverser', 'Some Summer Summoner', 'Triple Burst Dragon', 'Ningirsu the World Chalice Warrior', 'Thunder Dragon Thunderstormech', 'Kaminari Attack', 'Sea Monster of Theseus', 'Twin-Headed Thunder Dragon', 'Thunder Dragon Colossus', 'Thunder Dragon Titan', 'Book of Moon', 'Thunder Dragon Fusion', 'Raigeki', 'Instant Fusion', 'Chaos Space', 'Allure of Darkness', 'Thunder Dragonmatrix', 'Maxx ""C""', 'Ash Blossom & Joyous Spring', 'Batteryman Solar', 'Aloof Lupine', 'White Dragon Wyverburster', 'Black Dragon Collapserpent', 'Thunder Dragondark', 'Thunder Dragon', 'Thunder Dragonhawk', 'Thunder Dragonroar', 'The Chaos Creator', 'Thunder Dragonduo', 'Chaos Emperor, the Dragon of Armageddon', 'Thunder Dragonlord']"
Nordic Deck,"['Thor, Lord of the Aesir', 'Odin, Father of the Aesir', 'Loki, Lord of the Aesir', 'Gullveig of the Nordic Ascendant', 'The Nordic Lights', 'Nordic Relic Draupnir', 'Level Limit - Area B', 'Gravity Bind', 'Nordic Relic Megingjord', 'Nordic Relic Laevateinn', 'Nordic Relic Gungnir', 'Nordic Relic Brisingamen', 'Gleipnir, the Fetters of Fenrir', 'Vanadis of the Nordic Ascendant', 'Valkyrie of the Nordic Ascendant', 'Tyr of the Nordic Champions', 'Tanngrisnir of the Nordic Beasts', 'Tanngnjostr of the Nordic Beasts', 'Svartalf of the Nordic Alfar', 'Mimir of the Nordic Ascendant', 'Mara of the Nordic Alfar', 'Ljosalf of the Nordic Alfar', 'Jormungardr the Nordic Serpent', 'Guldfaxe of the Nordic Beasts', 'Garmr of the Nordic Beasts', 'Fenrir the Nordic Wolf', 'Dverg of the Nordic Alfar', 'Alviss of the Nordic Alfar']"
Number iC1000: Numeronius Numeronia Deck,"['Crossout Designator', 'Numeron Storm', 'Sauravis, the Ancient and Ascended', 'Infinitrack Fortress Megaclops', 'Number 3: Numeron Gate Trini', 'Number 2: Numeron Gate Dve', 'Number 1: Numeron Gate Ekam', 'Number 4: Numeron Gate Catvari', 'Number C1: Numeron Chaos Gate Sunya', 'Number C1000: Numerounius', 'Number iC1000: Numerounius Numerounia', 'PSY-Framelord Omega', 'Jar of Avarice', 'Numeron Network', 'Called by the Grave', 'Memories of Hope', 'Numeron Calling', 'Numeron Chaos Ritual', 'One Day of Peace', ""Harpie's Feather Duster"", 'Numeron Wall', 'Swift Scarecrow', 'Ash Blossom & Joyous Spring', 'Unchained Twins - Rakea', 'Unchained Twins - Aruha', 'Planet Pathfinder']"
Pepe deck (Performapal Performage),"['Number F0: Utopic Future', 'Traptrix Rafflesia', 'Tellarknight Ptolemaeus', 'Abyss Dweller', 'Daigusto Emeral', 'Majester Paladin, the Ascending Dracoslayer', 'Diamond Dire Wolf', 'Castel, the Skyblaster Musketeer', 'King of the Feral Imps', 'Performage Trapeze Magician', 'Ignister Prominence, the Blasting Dracoslayer', 'Dinoster Power, the Mighty Dracoslayer', 'Treacherous Trap Hole', 'Bottomless Trap Hole', 'Wavering Eyes', 'Draco Face-Off', 'Performapal Guitartle', 'Performapal Lizardraw', 'Performage Mirror Conductor', 'Performage Plushfire', 'Performage Hat Tricker', 'Performapal Pendulum Sorcerer', 'Performage Damage Juggler', 'Performage Trick Clown', 'Performapal Skullcrobat Joker', 'Luster Pendulum, the Dracoslayer', 'Performapal Monkeyboard', 'Vector Pendulum, the Dracoverlord', 'Master Pendulum, the Dracoslayer']"
Pure Galaxy-Eyes 2020,"['Thunder End Dragon', 'Divine Dragon Knight Felgrand', 'Number 38: Hope Harbinger Dragon Titanic Galaxy', 'Number 97: Draglubion', 'Galaxy-Eyes Solflare Dragon', 'Cyber Dragon Infinity', 'Cyber Dragon Nova', 'Number 90: Galaxy-Eyes Photon Lord', 'Number 62: Galaxy-Eyes Prime Photon Dragon', 'Number 107: Galaxy-Eyes Tachyon Dragon', 'Galaxy-Eyes Full Armor Photon Dragon', 'Galaxy-Eyes Cipher Dragon', 'Galaxy-Eyes Cipher Blade Dragon', 'Tachyon Transmigration', 'Called by the Grave', 'Galaxy Zero', 'Trade-In', 'Return of the Dragon Lords', 'Photon Sanctuary', 'Monster Reborn', 'Galaxy Trance', 'Galaxy Expedition', 'Accellight', 'Photon Vanisher', 'Photon Orbital', 'Galaxy Wizard', 'Galaxy Soldier', 'Galaxy-Eyes Photon Dragon', 'Galaxy Knight']"
Red Dragon Archfiend Deck,"['Red Rising Dragon', 'Red Dragon Archfiend', 'Hot Red Dragon Archfiend', 'Scarlight Red Dragon Archfiend', 'Hot Red Dragon Archfiend Bane', 'Tyrant Red Dragon Archfiend', 'Red Nova Dragon', 'Hot Red Dragon Archfiend King Calamity', 'Crimson Fire', 'King Scarlet', 'Red Screen', 'Windstorm of Etaqua', 'Red Supremacy', 'Red Carpet', 'Red Cocoon', 'Resonant Destruction', 'Red Dragon Vase', 'Scarlet Security', 'Synchro Cracker', 'Resonator Call', 'Resonator Engine', 'Red Mirror', 'Chain Resonator', 'Force Resonator', 'Red Resonator', 'Clock Resonator', 'Dark Resonator', 'Red Gardna', 'Guerilla Kite', 'Red Sprinter', 'Red Warg']"
Red Eyes Black Dragon,"['Topologic Trisbaena', 'Hieratic Seal of the Heavenly Spheres', 'Darkness Metal, the Dragon of Dark Steel', 'Red-Eyes Flare Metal Dragon', 'Red-Eyes Slash Dragon', 'Meteor Black Comet Dragon', 'Archfiend Black Skull Dragon', 'Return of the Red-Eyes', 'Red-Eyes Spirit', 'United We Stand', 'Mage Power', 'Axe of Despair', 'Red-Eyes Fusion', 'Cards of the Red Stone', 'The Black Stone of Legend', 'Black Metal Dragon', 'Red-Eyes Baby Dragon', 'Red-Eyes Wyvern', 'Red-Eyes Retro Dragon', 'Gearfried the Red-Eyes Iron Knight', 'Meteor Dragon Red-Eyes Impact', 'Red-Eyes Alternative Black Dragon', 'Red-Eyes Darkness Metal Dragon', 'Summoned Skull', 'Red-Eyes Black Dragon']"
Red-Eyes 2017 (via LEO) V0.1,"['Red-Eyes Transmigration', 'Dark Dragon Ritual', 'Draconnection', 'Stamping Destruction', 'Paladin of Dark Dragon', 'Lord of the Red', ""Black Dragon's Chick"", 'Malefic Red-Eyes Black Dragon', 'Summoned Skull', 'Red-Eyes Slash Dragon', 'Meteor Black Comet Dragon', 'Archfiend Black Skull Dragon', 'Solemn Warning', 'Drowning Mirror Force', 'Red-Eyes Spirit', 'Storming Mirror Force', 'Raigeki Break', 'Half Unbreak', 'Red-Eyes Insight', 'Upstart Goblin', 'Inferno Fire Blast', 'Dragon Shrine', 'Cards of the Red Stone', 'Raigeki', 'Red-Eyes Fusion', 'The Black Stone of Legend', 'Black Metal Dragon', 'Carboneddon', 'Red-Eyes Baby Dragon', 'Red-Eyes Retro Dragon', 'Gearfried the Red-Eyes Iron Knight', 'Red-Eyes Wyvern', 'Meteor Dragon Red-Eyes Impact', 'Red-Eyes Archfiend of Lightning', 'Red-Eyes Black Flare Dragon', 'Red-Eyes Zombie Dragon', 'Red-Eyes Darkness Dragon', 'Summoned Skull', 'Red-Eyes Black Dragon']"
Salamangreat World Championship 2019 - 1st Place,"['Imperial Order', 'Ghost Belle & Haunted Mansion', 'Lady Debug', 'Gameciel, the Sea Turtle Kaiju', 'Salamangreat Sunlight Wolf', 'Salamangreat Heatleo', 'Salamangreat Balelynx', 'Hiita the Fire Charmer, Ablaze', 'Borreload Dragon', 'Salamangreat Miragestallio', 'Number 41: Bagooska the Terribly Tired Tapir', 'Abyss Dweller', 'Salamangreat Roar', 'Salamangreat Rage', 'Infinite Impermanence', 'Salamangreat Circle', 'Will of the Salamangreat', 'Salamangreat Sanctuary', 'Mind Control', 'Cynet Mining', 'Effect Veiler', 'Salamangreat Spinny', 'Salamangreat Gazelle', 'Salamangreat Foxy', 'Flame Bufferlo', 'Salamangreat Jack Jaguar', 'Salamangreat Falco']"
