web-scraper-order,web-scraper-start-url,Deck-Selector,Deck-Selector-href,Card-Selector,Card-Selector-href,Card-Name
"1727120820-1","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=60","Gren Maju OTK","https://ygoprodeck.com/deck/gren-maju-otk-59080","","https://ygoprodeck.com/card/?search=24207889","There Can Be Only One"
"1727120822-2","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=60","Gren Maju OTK","https://ygoprodeck.com/deck/gren-maju-otk-59080","","https://ygoprodeck.com/card/?search=54974237","Eradicator Epidemic Virus"
"1727120824-3","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=60","Gren Maju OTK","https://ygoprodeck.com/deck/gren-maju-otk-59080","","https://ygoprodeck.com/card/?search=43898403","Twin Twisters"
"1727120826-4","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=60","Gren Maju OTK","https://ygoprodeck.com/deck/gren-maju-otk-59080","","https://ygoprodeck.com/card/?search=8267140","Cosmic Cyclone"
"1727120829-5","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=60","Gren Maju OTK","https://ygoprodeck.com/deck/gren-maju-otk-59080","","https://ygoprodeck.com/card/?search=38814750","PSY-Framegear Gamma"
"1727120832-6","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=60","Gren Maju OTK","https://ygoprodeck.com/deck/gren-maju-otk-59080","","https://ygoprodeck.com/card/?search=49036338","PSY-Frame Driver"
"1727120834-7","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=60","Gren Maju OTK","https://ygoprodeck.com/deck/gren-maju-otk-59080","","https://ygoprodeck.com/card/?search=3679218","Knightmare Mermaid"
"1727120837-8","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=60","Gren Maju OTK","https://ygoprodeck.com/deck/gren-maju-otk-59080","","https://ygoprodeck.com/card/?search=13117073","Barricadeborg Blocker"
"1727120839-9","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=60","Gren Maju OTK","https://ygoprodeck.com/deck/gren-maju-otk-59080","","https://ygoprodeck.com/card/?search=75452921","Knightmare Cerberus"
"1727120841-10","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=60","Gren Maju OTK","https://ygoprodeck.com/deck/gren-maju-otk-59080","","https://ygoprodeck.com/card/?search=2857636","Knightmare Phoenix"
"1727120843-11","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=60","Gren Maju OTK","https://ygoprodeck.com/deck/gren-maju-otk-59080","","https://ygoprodeck.com/card/?search=38342335","Knightmare Unicorn"
"1727120846-12","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=60","Gren Maju OTK","https://ygoprodeck.com/deck/gren-maju-otk-59080","","https://ygoprodeck.com/card/?search=23085002","Number 68: Sanaphond the Sky Prison"
"1727120848-13","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=60","Gren Maju OTK","https://ygoprodeck.com/deck/gren-maju-otk-59080","","https://ygoprodeck.com/card/?search=93854893","Dingirsu, the Orcust of the Evening Star"
"1727120850-14","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=60","Gren Maju OTK","https://ygoprodeck.com/deck/gren-maju-otk-59080","","https://ygoprodeck.com/card/?search=63767246","Number 38: Hope Harbinger Dragon Titanic Galaxy"
"1727120852-15","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=60","Gren Maju OTK","https://ygoprodeck.com/deck/gren-maju-otk-59080","","https://ygoprodeck.com/card/?search=18963306","Galaxy-Eyes Cipher Dragon"
"1727120854-16","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=60","Gren Maju OTK","https://ygoprodeck.com/deck/gren-maju-otk-59080","","https://ygoprodeck.com/card/?search=39030163","Galaxy-Eyes Full Armor Photon Dragon"
"1727120856-17","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=60","Gren Maju OTK","https://ygoprodeck.com/deck/gren-maju-otk-59080","","https://ygoprodeck.com/card/?search=73445448","Number 22: Zombiestein"
"1727120858-18","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=60","Gren Maju OTK","https://ygoprodeck.com/deck/gren-maju-otk-59080","","https://ygoprodeck.com/card/?search=2530830","Galaxy-Eyes Cipher Blade Dragon"
"1727120861-19","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=60","Gren Maju OTK","https://ygoprodeck.com/deck/gren-maju-otk-59080","","https://ygoprodeck.com/card/?search=54757758","Mudragon of the Swamp"
"1727120864-20","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=60","Gren Maju OTK","https://ygoprodeck.com/deck/gren-maju-otk-59080","","https://ygoprodeck.com/card/?search=41209827","Starving Venom Fusion Dragon"
"1727120866-21","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=60","Gren Maju OTK","https://ygoprodeck.com/deck/gren-maju-otk-59080","","https://ygoprodeck.com/card/?search=37261776","Salamangreat Violet Chimera"
"1727120870-22","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=60","Gren Maju OTK","https://ygoprodeck.com/deck/gren-maju-otk-59080","","https://ygoprodeck.com/card/?search=72283691","Golden Castle of Stromberg"
"1727120872-23","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=60","Gren Maju OTK","https://ygoprodeck.com/deck/gren-maju-otk-59080","","https://ygoprodeck.com/card/?search=48130397","Super Polymerization"
"1727120874-24","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=60","Gren Maju OTK","https://ygoprodeck.com/deck/gren-maju-otk-59080","","https://ygoprodeck.com/card/?search=24224830","Called by the Grave"
"1727120876-25","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=60","Gren Maju OTK","https://ygoprodeck.com/deck/gren-maju-otk-59080","","https://ygoprodeck.com/card/?search=83764719","Monster Reborn"
