web-scraper-order,web-scraper-start-url,Deck-Selector,Deck-Selector-href,Card-Selector,Card-Selector-href,Card-Name
"1727118717-1","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=40","Toon deck","https://ygoprodeck.com/deck/toon-deck-19303","","https://ygoprodeck.com/card/?search=97077563","Call of the Haunted"
"1727118720-2","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=40","Toon deck","https://ygoprodeck.com/deck/toon-deck-19303","","https://ygoprodeck.com/card/?search=43509019","Toon Defense"
"1727118722-3","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=40","Toon deck","https://ygoprodeck.com/deck/toon-deck-19303","","https://ygoprodeck.com/card/?search=79447365","Toon Mask"
"1727118725-4","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=40","Toon deck","https://ygoprodeck.com/deck/toon-deck-19303","","https://ygoprodeck.com/card/?search=5832914","Toon Briefcase"
"1727118727-5","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=40","Toon deck","https://ygoprodeck.com/deck/toon-deck-19303","","https://ygoprodeck.com/card/?search=72302403","Swords of Revealing Light"
"1727118730-6","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=40","Toon deck","https://ygoprodeck.com/deck/toon-deck-19303","","https://ygoprodeck.com/card/?search=98045062","Enemy Controller"
"1727118732-7","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=40","Toon deck","https://ygoprodeck.com/deck/toon-deck-19303","","https://ygoprodeck.com/card/?search=55144522","Pot of Greed"
"1727118735-8","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=40","Toon deck","https://ygoprodeck.com/deck/toon-deck-19303","","https://ygoprodeck.com/card/?search=83764719","Monster Reborn"
"1727118737-9","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=40","Toon deck","https://ygoprodeck.com/deck/toon-deck-19303","","https://ygoprodeck.com/card/?search=15259704","Toon World"
"1727118740-10","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=40","Toon deck","https://ygoprodeck.com/deck/toon-deck-19303","","https://ygoprodeck.com/card/?search=15259703","Toon World"
"1727118742-11","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=40","Toon deck","https://ygoprodeck.com/deck/toon-deck-19303","","https://ygoprodeck.com/card/?search=43175858","Toon Kingdom"
"1727118744-12","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=40","Toon deck","https://ygoprodeck.com/deck/toon-deck-19303","","https://ygoprodeck.com/card/?search=89997728","Toon Table of Contents"
"1727118747-13","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=40","Toon deck","https://ygoprodeck.com/deck/toon-deck-19303","","https://ygoprodeck.com/card/?search=70560957","Toon Rollback"
"1727118750-14","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=40","Toon deck","https://ygoprodeck.com/deck/toon-deck-19303","","https://ygoprodeck.com/card/?search=6958551","Shadow Toon"
"1727118752-15","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=40","Toon deck","https://ygoprodeck.com/deck/toon-deck-19303","","https://ygoprodeck.com/card/?search=66574418","The Black Stone of Legend"
"1727118755-16","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=40","Toon deck","https://ygoprodeck.com/deck/toon-deck-19303","","https://ygoprodeck.com/card/?search=62762898","Parrot Dragon"
"1727118758-17","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=40","Toon deck","https://ygoprodeck.com/deck/toon-deck-19303","","https://ygoprodeck.com/card/?search=59383041","Toon Alligator"
"1727118760-18","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=40","Toon deck","https://ygoprodeck.com/deck/toon-deck-19303","","https://ygoprodeck.com/card/?search=7171149","Toon Ancient Gear Golem"
"1727118763-19","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=40","Toon deck","https://ygoprodeck.com/deck/toon-deck-19303","","https://ygoprodeck.com/card/?search=38369349","Manga Ryu-Ran"
"1727118765-20","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=40","Toon deck","https://ygoprodeck.com/deck/toon-deck-19303","","https://ygoprodeck.com/card/?search=53183600","Blue-Eyes Toon Dragon"
"1727118768-21","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=40","Toon deck","https://ygoprodeck.com/deck/toon-deck-19303","","https://ygoprodeck.com/card/?search=61190918","Toon Buster Blader"
"1727118770-22","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=40","Toon deck","https://ygoprodeck.com/deck/toon-deck-19303","","https://ygoprodeck.com/card/?search=28112535","Toon Barrel Dragon"
"1727118773-23","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=40","Toon deck","https://ygoprodeck.com/deck/toon-deck-19303","","https://ygoprodeck.com/card/?search=21296502","Toon Dark Magician"
